"care_site_id","care_site_name","place_of_service_concept_id","location_id","care_site_source_value","place_of_service_source_value"
244,WEST REHAB SERVICES  INC.,0,,bfe8dfdd-2f32-3359-994b-7971c8c6fc1b,
245,OAKS - SCENIC VIEW SKILLED NURSING  THE,0,,c0debc14-5611-3cfe-8e57-dae66f837c44,
246,NORTHEAST GEORGIA PHYSICIANS GROUP URGENT CARE LLC,0,,c17fab8f-a897-39ef-88e1-2117c4e832bd,
247,MIDTOWN UROLOGY SURGICAL CENTER  PC.,0,,c1b840bb-e364-3edb-a80e-a93c942691bb,
248,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,0,,c5d4cc7e-6b95-376e-85cc-c298d432db63,
249,COLUMBUS FAMILY MEDICINE  LLC,0,,c8f179b5-8a33-324b-9298-4c28213990d7,
250,CARECONNECT HEALTH INC,0,,c9c892b5-1327-3f3f-bdc9-b20005ab21be,
251,URGENT MD HEALTHCARE SERVICES  P.C.,0,,ca5fa9f4-5fad-388c-a582-3b5bd6ca87f9,
252,ANGLYN FAMILY MEDICAL CENTER  LLC,0,,cae80475-7715-3a5c-9ca6-b78c4b7a9700,
253,DACULA PRIMARY CARE LLC,0,,cb330b30-dfb2-325f-9230-457477150e3d,
254,COMMUNITY HEALTH CARE SYSTEMS  INC.,0,,cc050ced-708b-3c14-92fb-94c02ce8de76,
255,SUMMITRIDGE CENTER- PSYCHIATRY & ADDICTIVE MED,0,,cc7974ce-954b-35a1-b718-b7a994cf0471,
256,FOUR COUNTY HEALTH AND REHABILITATION,0,,d0a3ac2e-7c20-34f3-8b33-8ef13dd249df,
257,PROFESSIONAL RESOURCES MANAGEMENT OF RABUN  LLC,0,,d0c7c2f5-9818-3deb-9c27-2ea08bf95972,
258,ARROWHEAD HEALTH AND REHAB,0,,d0f48bc2-8330-33c5-96af-30e80cf6fa75,
259,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,0,,d0f4b9fe-6727-3019-ac87-50fcc372bb70,
260,MAYSVILLE FAMILY PRACTICE  INC,0,,d30b3f31-2928-38b8-abe2-321de6faa19d,
261,PRIMARY FAMILY MEDICINE L.L.C,0,,d401bee6-6f7f-3354-9a0f-6bf7e3f210b3,
262,TOTAL HEALTH SOLUTIONS MEDICAL CENTER,0,,d5090435-301c-323e-ac7a-af8eb1d275c3,
263,ROPHE ADULT & PEDIATRIC MEDICINE,0,,d6702a0d-65cf-3c39-a75c-5c5029e3a5a4,
264,AMEDISYS HOSPICE,0,,d710df69-7759-389e-8d5e-e7480a5f6a78,
265,REGENCY PARK HEALTH AND REHABILITATION,0,,d7245ad9-e566-3d85-8b1f-f0d479a74cd8,
266,DOWELL FAMILY WELLNESS  LLC,0,,d783b554-4383-3e2c-bbd3-e70c63c947b0,
267,PRUITTHEALTH - FAIRBURN,0,,d7f06781-c305-3ab5-af61-9bbf2f477fc8,
268,PEACHTREE CITY URGENT CARE  INC,0,,d82798f2-d792-3564-a6a1-5531bc4781b1,
269,INTERNAL MEDICINE ASSOCIATION OF ROCKDALE PC,0,,d9e38dc6-c037-3ba6-bdab-a9dbe262f85f,
270,ALPHA INTERNAL MEDICINE LLC,0,,da185eb5-f9fa-31ad-a48c-4fa3728d0da5,
271,COLLABORATIVE HEALTH CARE & TNG INS,0,,de01f743-a0d9-34a2-aaa9-b64146b75777,
272,SPEECHFAMILY,0,,df32e16b-ba2b-3856-8027-36d8c291cd7b,
273,ROCKDALE HEALTHCARE CENTER,0,,df4f3117-9325-3f4f-b3a5-1dab86b3e6bc,
274,AMEDISYS HOME HEALTH OF MACON,0,,e03d6a50-8109-3960-8913-1e18eaf30436,
275,GOLD CITY HEALTH AND REHAB,0,,e1a17ffd-2098-30aa-8d49-396db725dbbf,
276,NORTH FULTON PRIMARY CARE-WILLEO ROAD  LLC,0,,e3599d88-9c9b-3e7b-8336-da320c920b04,
277,MACON OPERATING LLC,0,,e438b2e2-1928-34d2-b0da-c160e594389a,
278,MAGNOLIA MANOR OF COLUMBUS INC,0,,e510ecfd-cca9-36d8-b7fd-a7f2da4c6fe4,
279,SOUTHERN FAMILY MEDICAL CENTER PC,0,,e66c78e5-2c4b-37a5-a87a-b19e1e1281de,
280,NORTHSIDE URGENT CARE HOLDING LLC,0,,e73636dd-2aee-3433-9920-6a7a77f4d4b4,
281,TIFT REGIONAL HEALTH SYSTEM INC,0,,e78e9a3a-195e-384d-97a4-4a03d6c8c016,
282,SHADY GROVE REST HOME INC,0,,e8c832d2-e781-3732-a492-eb475507c066,
283,PREMIER FAMILY MEDICINE & URGENT CARE CLINIC INC,0,,e8e39217-41fb-3bdc-88f8-9fc16771ffb6,
284,RIVERSIDE HEALTH CARE CENTER,0,,e8ffbff1-38c0-3ba3-919f-fe630f14d9f2,
285,HEARTLAND HOSPICE SERVICES- AUSTELL,0,,ea321a66-7411-36a7-a717-0b5b1efa03ee,
286,SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,0,,ea804dcc-57d9-3f6f-ac5d-35a71f0e56fd,
287,ANDREW T MECCA URGENT CARE LLC,0,,eb1c3f73-cd50-3429-bf1e-24b44ba7721c,
288,PRUITTHEALTH - AUSTELL,0,,eb4206da-044d-3530-b6b4-51ac311ff152,
289,Hinesville Clinic,0,,eb9d6e91-b2ee-3c7a-b6e2-42476e82ae99,
290,THE HOSPITAL AUTHORITY OF HABERSHAM COUNTY,0,,ebea2744-ccbb-372f-bed3-64f409176715,
291,NISAR MEDICAL CENTER  INC.,0,,ec164d6b-4b37-3848-83e9-a9c3365da8d6,
292,SOUTHERN URGENT CARE LLC,0,,ece3158c-1479-3cdc-bbb2-ee06750be0d4,
293,WINDWARD SURGERY CENTER,0,,ed987f0e-4bd7-3438-99ae-52746442e5bd,
294,COLUMBUS SPECIALTY HOSPITAL  INC,0,,edeeeeb0-6f97-39ab-b6f3-47efdd03b4c1,
295,LENBROOK SQUARE FOUNDATION  INC.,0,,edf33026-1088-3be2-b35b-15b573b53cfa,
296,LIVI FAMILY MEDICINE LLC,0,,edf4c3f0-ac7c-3406-a065-87217734118c,
297,HOSPITAL AUTHORITY OF COLUMBUS GA,0,,eede71da-8f99-3a3f-8b9f-91d90b852051,
298,FAMILY MEDICINE AND URGENT CARE  PC,0,,ef049d81-736d-3839-bae0-04c8710b5f2f,
299,PRUITTHEALTH HOSPICE-UNION CITY,0,,ef29f6f4-3c0b-3497-a2b4-e1bdf3450355,
300,ATRIUM HEALTH NAVICENT BALDWIN,0,,efb2414d-7cd1-320d-b349-afe31553d322,
301,DEKALB MEDICAL CENTER  INC,0,,efb6885c-7486-357e-a887-65bd0ea666bb,
302,KENNESTONE HOSPITAL  INC.,0,,efd7a6d1-6b74-3907-9454-d0bf56d1a044,
303,ROSWELL NURSING & REHAB CENTER,0,,f16a571b-11f8-3b07-9b65-bac0c1bd0d53,
304,NAVICENT HEALTH BALDWIN,0,,f1e623f4-6646-326b-a8c7-326364d86849,
305,EAST GEORGIA REGIONAL MEDICAL CENTER,0,,f21346d7-8d5a-3894-9330-21e8e21835f1,
306,AUTUMN BREEZE HEALTH AND REHAB,0,,f35e7bd3-94cc-3ab1-9bd0-ef921a567f54,
307,ATRIUM HEALTH NAVICENT PEACH,0,,f78c8043-365c-38a7-af5d-f4d26bc55f1e,
308,CRABAPPLE FAMILY MEDICINE,0,,f79318b9-af47-3087-a190-7a939c7b4611,
309,ACSH URGENT CARE OF GEORGIA LLC,0,,f7a6eac6-ccd2-3d98-b97d-527dbeb9644c,
310,AMEDISYS HOSPICE OF DALTON,0,,faf6d92b-69c2-32a3-81d1-d509593c549e,
311,RESORTS AT POOLER INC,0,,fc967797-caa1-390d-a7c8-a920848687e8,
312,HEALING PATH WELLNESS LLC,0,,fccccb38-5b65-3a89-a913-9fb7d38f4821,
313,HEALTH CARE FOR LIFE GA  LLC,0,,fd139ba9-e968-3e06-aba0-ee21582e918f,
314,PIEDMONT COLUMBUS REGIONAL NORTHSIDE,0,,fed20b85-8b3b-3751-8823-e6ac6dab7771,
